name,community,ai_involvement,publication_types,derived_groups,roles_ADD_YOUR_OWN
Alan Sondheim,Net.art / listserv writing,Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 1; ELO AWARDS; Second tuesday Salons; WordHack; trAce. Online Writing Centre (95-05),
Leonardo Flores,Smaller / mixed groups,None,Academic; Anthology; Lit Mag,Digital Humanities Awards; ELC 3; ELC 4; ELO Exec + Lit Advisory Board; ELO Keynotes + plenaries; ELO Team 2014; ELO Team 2021; Lit E Lat 2,
Will Luers,Smaller / mixed groups,Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 3; ELC 4; ELO AWARDS; ELO Team 2014; ELO Team 2016; Electronic Book Review Staff; NuMeWriPri Shortlists,
John T. Murray,Digital humanities crossover,None,Academic; Anthology; Lit Mag,ELC 4; ELO Team 2016; ELO Team 2021; ELO Team 2024; ELO Team 2026,
J. R. Carpenter,E-poetry / digital concrete,None,Academic; Anthology; Archive; Art Mag; Lit Mag,ELC 1; ELC 2; ELC 3; ELC 4; New Media Writing Prize,
Noah Wardrip-Fruin,Wardrip-Fruin / Bernstein cluster,None,Academic; Anthology; Archive; Lit Mag,ELC 1; ELC 2; ELO Keynotes + plenaries,
María Mencía,Hispanic / Iberian (Ciberia),Endogenous,Academic; Anthology; Archive,ELC 1; ELC 4; ELO Team 2016; ELO Team 2021; ELO Team 2022; Second tuesday Salons,
Rui Torres,Lusophone (MATLIT / Po.Ex),Endogenous,Academic; Anthology; Archive,ELC 2; ELC 3; ELC 4; ELO Exec + Lit Advisory Board; ELO Team 2016; ELO Team 2021; ELO Team 2022; ELO Team 2024; Electronic Book Review Staff; Lit E Lat 2,
Roderick Coover,Smaller / mixed groups,None,Academic; Anthology; Archive; Art Mag; Lit Mag,ELC 2; ELO AWARDS; ELO Exec + Lit Advisory Board; Eastgate Systems,
Christine Wilks,Breeze / Wilks cluster,Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 2; ELO Keynotes + plenaries; New Media Writing Prize; NuMeWriPri Shortlists,
David Jhave Johnston,Johnston / Hatcher cluster,Endogenous,Academic; Anthology; Archive; Lit Mag,Drunken Boat Staff; ELC 2; ELO AWARDS; NT2 Lab; WordHack,
Mark Amerika,Media-art / critical theory,Endogenous,Academic; Anthology; Archive; Art Mag; Lit Mag,ELO Keynotes + plenaries; Electronic Book Review Staff; The Verse verse,
Robert Kendall,1st-gen hypertext (Storyspace/Eastgate),None,Academic; Anthology; Archive; Lit Mag,ELC 1; Eastgate Systems,
Sandy Baldwin,Baldwin / Barber cluster,Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 2; ELO AWARDS; ELO Team 2014; ELO Team 2016,
Joseph Tabbi,Electronic Book Review axis,None,Academic; Archive,ELMCIP Project Team; ELO AWARDS; ELO Exec + Lit Advisory Board; ELO Team 2016; ELO Team 2021; ELO Team 2024; ELit Directory Team; Electronic Book Review Staff; NYU Press Prize for Hyperfiction,
Davin Heckman,Smaller / mixed groups,Endogenous,Academic; Lit Mag,ELO Exec + Lit Advisory Board; ELO Team 2016; ELO Team 2021; ELit Directory Team; Electronic Book Review Staff,
Kathi Inman Berens,Berens / Whalen cluster,Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 3; ELC 4; ELO Team 2014; ELO Team 2016; ELO Team 2024; ELO Team 2026; Electronic Book Review Staff,
Judd Morrissey,E-poetry / digital concrete,None,Academic; Anthology; Archive; Lit Mag,ELC 1; ELC 2; ELC 4; WordHack,
Daniel C. Howe,E-poetry / digital concrete,None,Academic; Anthology; Archive; Lit Mag,ELC 1; ELC 2; ELC 3; ELC 4,
Jim Andrews,Breeze / Wilks cluster,None,Academic; Anthology; Archive; Lit Mag,ELC 1; ELC 4; ELO AWARDS; ELO Team 2016; NuMeWriPri Shortlists,
Philippe Bootz,German / EU network (ELMCIP),Endogenous,Academic; Anthology; Archive,ELC 1; ELC 3; ELO Exec + Lit Advisory Board; NT2 Lab,
R. Lyle Skains,UK digital fiction & games,None,Academic; Anthology,ELC 4; ELO AWARDS; ELO Exec + Lit Advisory Board; ELO Team 2021; ELO Team 2024; ELO Team 2026; ELit Directory Team; Reading Digital Fiction; Second tuesday Salons,
Astrid Ensslin,UK digital fiction & games,None,Academic; Archive,ELO Exec + Lit Advisory Board; ELO Keynotes + plenaries; ELO Team 2021; ELO Team 2024; ELO Team 2026; ELit Directory Team; Reading Digital Fiction,
Søren Bro Pold,Media-art / critical theory,Endogenous,Academic; Anthology; Art Mag,ELC 3; ELC 4; ELO Exec + Lit Advisory Board; ELO Team 2021; Electronic Book Review Staff,
Loss Pequeño Glazier,E-poetry / digital concrete,Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 1; Lit E Lat 2,
Mark L. Sample,Computational / generative poetry,Endogenous,Academic; Anthology; Archive; Art Mag; Lit Mag,ELC 3; ELC 4; ELO AWARDS; Interactive Fiction Tech Foundation,
Lai-Tze Fan,Fisher / Fan cluster,None,Academic; Anthology; Lit Mag,ELC 4; ELO AWARDS; ELO Exec + Lit Advisory Board; ELO Keynotes + plenaries; ELO Team 2021; ELO Team 2024; ELit Directory Team; Electronic Book Review Staff; Second tuesday Salons,
Zach Whalen,Berens / Whalen cluster,None,Academic; Anthology; Lit Mag,ELC 3; ELC 4; ELO Exec + Lit Advisory Board; ELO Keynotes + plenaries; ELO Team 2014; ELO Team 2021; ELO Team 2024; ELO Team 2026,
Kate Pullinger,UK digital fiction & games,None,Academic; Anthology; Archive,ELC 1; ELC 2; ELO AWARDS; New Media Writing Prize; trAce. Online Writing Centre (95-05),
John F. Barber,Baldwin / Barber cluster,None,Academic; Archive,ELO Team 2014; ELO Team 2016; Second tuesday Salons,
Ian Hatcher,Johnston / Hatcher cluster,None,Academic; Anthology; Archive; Lit Mag,Drunken Boat Staff; ELC 3; ELC 4; ELO Team 2021; WordHack,
David Ciccoricco,Electronic Book Review axis,None,Academic; Lit Mag,ELO AWARDS; ELit Directory Team; Electronic Book Review Staff,
David Thomas Henry Wright,Fisher / Fan cluster,Endogenous,Academic; Anthology; Lit Mag,ELC 4; ELO AWARDS; ELO Team 2021; ELO Team 2022; Electronic Book Review Staff; New Media Writing Prize; NuMeWriPri Shortlists,
Andy Campbell,Campbell / Lewis cluster,None,Academic; Anthology; Archive; Lit Mag,ELC 3; ELC 4; New Media Writing Prize,
Michael Joyce,1st-gen hypertext (Storyspace/Eastgate),None,Academic; Anthology; Archive; Lit Mag,ELC 1; Eastgate Systems; NYU Press Prize for Hyperfiction,
Andrew Klobucar,Lusophone (MATLIT / Po.Ex),Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 3; WordHack,
Manuel Portela,Electronic Book Review axis,Endogenous,Academic; Archive,ELO Exec + Lit Advisory Board; Electronic Book Review Staff,
N. Katherine Hayles,Media-art / critical theory,Endogenous,Academic; Anthology; Archive; Art Mag,ELC 3; ELO AWARDS; ELO Exec + Lit Advisory Board; ELO Keynotes + plenaries,
Hazel Smith,Smith / Małecki cluster,Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 3; ELC 4; ELO AWARDS; NuMeWriPri Shortlists,
Mark Bernstein,Wardrip-Fruin / Bernstein cluster,None,Academic; Archive; Lit Mag,Eastgate Systems,
Alex Saum-Pascual,Hispanic / Iberian (Ciberia),None,Academic; Anthology; Archive; Lit Mag,ELC 4; ELO Exec + Lit Advisory Board; ELO Team 2016; ELO Team 2026; NuMeWriPri Shortlists,
Jody Zellen,Breeze / Wilks cluster,None,Academic; Anthology; Archive; Lit Mag,ELC 4; ELO Team 2016; NuMeWriPri Shortlists,
Eugenio Tisselli,Hispanic / Iberian (Ciberia),Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 2; ELC 3; ELO Keynotes + plenaries; Lit E Lat 2; NuMeWriPri Shortlists,
Claudia Kozak,Hispanic / Iberian (Ciberia),Endogenous,Academic; Anthology; Archive,ELC 4; ELO Exec + Lit Advisory Board; ELO Keynotes + plenaries; ELO Team 2014; ELO Team 2021; ELO Team 2022; ELO Team 2024; ELO Team 2026,
Alexandra Saemmer,German / EU network (ELMCIP),Endogenous,Academic; Anthology; Archive,ELC 3; ELO Exec + Lit Advisory Board; NT2 Lab,
Bill Bly,1st-gen hypertext (Storyspace/Eastgate),None,Academic; Anthology; Archive; Lit Mag,ELC 4; Eastgate Systems; NuMeWriPri Shortlists; Second tuesday Salons; WordHack,
Anna Nacher,Lusophone (MATLIT / Po.Ex),Endogenous,Academic; Anthology; Lit Mag,ELC 4; ELO Team 2021; ELO Team 2024; Electronic Book Review Staff; NuMeWriPri Shortlists,
Allison Parrish,Computational / generative poetry,None,Academic; Anthology; Archive; Lit Mag,ELC 3; ELC 4; ELO AWARDS; ELO Team 2021; School for Poetic Computation; WordHack,
Matthew G. Kirschenbaum,Media-art / critical theory,None,Academic; Archive; Art Mag,DHQ Staff; ELO Exec + Lit Advisory Board; ELO Keynotes + plenaries; Electronic Book Review Staff; NYU Press Prize for Hyperfiction,
Jessica Pressman,Media-art / critical theory,None,Academic; Archive; Art Mag,DHQ Staff; ELO AWARDS,
Piotr Małecki,Smith / Małecki cluster,None,Academic; Anthology; Archive,ELC 3; ELC 4,
Jeremy Douglass,ELO core / netprov & exec,None,Academic; Archive; Art Mag,ELO AWARDS; ELit Directory Team,
Helen J. Burgess,Baldwin / Barber cluster,Endogenous,Academic; Anthology; Archive,ELC 3; ELO Exec + Lit Advisory Board; ELO Team 2016; ELO Team 2021,
Jim Rosenberg,1st-gen hypertext (Storyspace/Eastgate),Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 1; Eastgate Systems,
Hannah Ackermans,Current ELO generation,None,Academic; Archive,ELMCIP Project Team; ELO Team 2021; ELit Directory Team; Second tuesday Salons,
Aaron A. Reed,Digital humanities crossover,None,Academic; Anthology; Archive,ELC 1; ELC 4; ELO Keynotes + plenaries; ELO Team 2014; XYZZY Awards,
Christopher T. Funkhouser,E-poetry / digital concrete,None,Academic; Anthology; Archive; Lit Mag,ELC 4; ELO Team 2016; WordHack,
Roger Dean,Smith / Małecki cluster,None,Academic; Anthology; Lit Mag,ELC 3; ELC 4; ELO AWARDS; NuMeWriPri Shortlists,
Jason Edward Lewis,Campbell / Lewis cluster,None,Academic; Anthology; Archive; Lit Mag,ELC 2; ELO AWARDS; NT2 Lab; OBX Lab for Experimental Media,
Élika Ortega,Hispanic / Iberian (Ciberia),None,Academic; Anthology; Archive,ELO AWARDS; ELO Keynotes + plenaries; ELO Team 2016; ELO Team 2024; ELO Team 2026,
Alex Mitchell,Wardrip-Fruin / Bernstein cluster,None,Academic,Second tuesday Salons,
Annie Abrahams,Net.art / listserv writing,None,Academic; Anthology; Archive; Art Mag; Lit Mag,ELC 2; ELO Exec + Lit Advisory Board; Second tuesday Salons,
María Goicoechea de Jorge,Hispanic / Iberian (Ciberia),Endogenous,Academic; Archive,ELO Team 2021; ELO Team 2022,
Elizabeth Losh,Wardrip-Fruin / Bernstein cluster,None,Academic; Anthology,ELO Keynotes + plenaries; HASTAC Leadership,
Lillian-Yvonne Bertram,Computational / generative poetry,None,Academic; Anthology; Lit Mag,0x0a; ELC 4; ELO AWARDS; ELO Keynotes + plenaries; The Verse verse; WordHack,
Jill Walker Rettberg,German / EU network (ELMCIP),Endogenous,Academic; Archive,ELMCIP Project Team; ELO Keynotes + plenaries; ELO Team 2021,
Samantha Gorman,Smaller / mixed groups,None,Academic; Anthology; Lit Mag,ELC 3; ELC 4; ELO AWARDS; ELO Team 2014; New Media Writing Prize; WordHack,
Shanmugapriya T,Current ELO generation,None,Academic; Anthology,DHQ Staff; ELO Exec + Lit Advisory Board; ELO Keynotes + plenaries; ELO Team 2026; Indian Consortium for Interactive Digital Narrative; New Media Writing Prize; NuMeWriPri Shortlists,
Tina Escaja aka Alm@ Pérez,Campbell / Lewis cluster,None,Academic; Anthology; Archive; Lit Mag,ELC 3; ELC 4; Lit E Lat 2,
Jörg Piringer,E-poetry / digital concrete,None,Academic; Anthology; Archive; Lit Mag,ELC 2; ELC 3; ELC 4; WordHack,
Brian Kim Stefans,E-poetry / digital concrete,None,Academic; Anthology; Archive; Lit Mag,ELC 1,
Donna Leishman,German / EU network (ELMCIP),Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 1,
Erik Loyer,Berens / Whalen cluster,None,Academic; Anthology; Archive,ELC 2; ELC 4; ELO Team 2014; ELO Team 2021; ELO Team 2024,
Shelley Jackson,1st-gen hypertext (Storyspace/Eastgate),None,Academic; Anthology; Archive; Lit Mag,ELC 1; Eastgate Systems,
Christy Sheffield Sanford,1st-gen hypertext (Storyspace/Eastgate),None,Academic; Archive; Lit Mag,trAce. Online Writing Centre (95-05),
Natalia Fedorova,Smith / Małecki cluster,None,Academic; Anthology; Lit Mag,ELC 3; ELO Team 2022,
Thomas Swiss,Net.art / listserv writing,None,Academic; Archive; Lit Mag,Electronic Book Review Staff; NYU Press Prize for Hyperfiction,
Simon Biggs,German / EU network (ELMCIP),Endogenous,Academic; Anthology; Archive,ELMCIP Project Team; ELO Team 2021,
Kyle Booten,Computational / generative poetry,Both,Academic; Anthology; Archive; Art Mag; Lit Mag,ELC 4,
Richard Holeton,1st-gen hypertext (Storyspace/Eastgate),None,Academic; Anthology; Archive,ELC 1; Eastgate Systems; NuMeWriPri Shortlists,
Rita Raley,Media-art / critical theory,None,Academic; Archive; Lit Mag,ELO Keynotes + plenaries; Electronic Book Review Staff,
Mariusz Pisarski,Wardrip-Fruin / Bernstein cluster,None,Academic; Anthology; Archive,ELC 4; ELO Exec + Lit Advisory Board; ELO Team 2021,
Amaranth Borsuk,Johnston / Hatcher cluster,Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 3; ELO Team 2014,
Geniwate aka Jenny Weight,1st-gen hypertext (Storyspace/Eastgate),None,Academic; Anthology; Archive; Lit Mag,ELC 1; trAce + Alt-X Hypertext Competitions,
Jim Bizzocchi,Baldwin / Barber cluster,None,Academic; Archive,ELO Team 2014; ELO Team 2016,
Samya Brata Roy,Current ELO generation,None,Academic; Anthology,DH Now; ELO Team 2021; ELO Team 2024; ELO Team 2026; Electronic Book Review Staff; New Media Writing Prize; Second tuesday Salons,
Jeneen Naji,Berens / Whalen cluster,None,Academic; Anthology; Lit Mag,ELC 4; ELO Exec + Lit Advisory Board; ELO Team 2014; ELO Team 2016,
Álvaro Seiça,Lusophone (MATLIT / Po.Ex),None,Academic; Anthology; Archive,ELC 4; ELMCIP Project Team; New Media Writing Prize; WordHack,
Jay David Bolter,1st-gen hypertext (Storyspace/Eastgate),None,Academic; Archive,Eastgate Systems; NYU Press Prize for Hyperfiction,
David Clark,Campbell / Lewis cluster,None,Academic; Anthology; Archive; Lit Mag,ELC 2; ELC 4; New Media Writing Prize; OBX Lab for Experimental Media,
Johanna Rodgers,Berens / Whalen cluster,None,Academic; Anthology,ELO Team 2016; ELO Team 2021; ELO Team 2024; Second tuesday Salons,
Richard A. Carter,UK digital fiction & games,Both,Academic; Anthology; Lit Mag,ELC 4; NuMeWriPri Shortlists,
Carolyn Guertin,1st-gen hypertext (Storyspace/Eastgate),None,Academic; Archive; Art Mag; Lit Mag,trAce. Online Writing Centre (95-05),
Erika Fülöp,Fisher / Fan cluster,None,Academic,ELO Exec + Lit Advisory Board; ELO Team 2021; ELO Team 2022; Electronic Book Review Staff; NT2 Lab; NuMeWriPri Shortlists,
Terhi Marttila,Fisher / Fan cluster,None,Academic; Anthology; Lit Mag,ELC 4; ELO Team 2024,
Maria Engberg,German / EU network (ELMCIP),Endogenous,Academic; Anthology; Archive,ELMCIP Project Team; ELO Team 2016; ELit Directory Team,
Patrick Lichty,Fisher / Fan cluster,None,Academic; Archive,ELO Exec + Lit Advisory Board; Second tuesday Salons,
Johanna Drucker,Media-art / critical theory,None,Academic; Archive; Lit Mag,DHQ Staff,
Chris Klimas,Digital humanities crossover,None,Academic; Archive,ELO Keynotes + plenaries; Interactive Fiction Tech Foundation; Twine + Cookbook + Twinery Samples; XYZZY Awards,
Emily Short,Digital humanities crossover,Endogenous,Academic; Anthology; Archive,ELC 1; ELC 3; IF Comp; XYZZY Awards,
Joellyn Rock,Berens / Whalen cluster,None,Academic; Anthology; Archive; Lit Mag,ELC 4; ELO Team 2016,
Stephanie Boluk,Media-art / critical theory,None,Academic; Anthology; Archive,ELC 3; ELO Keynotes + plenaries; ELO Team 2014; WordHack,
D. Fox Harrell,Johnston / Hatcher cluster,None,Academic; Anthology,ELC 3,
Lori Emerson,Media-art / critical theory,None,Academic; Archive; Art Mag,ELO Keynotes + plenaries; ELit Directory Team,
José Aburto,Hispanic / Iberian (Ciberia),None,Academic; Anthology; Archive; Lit Mag,ELC 3; ELC 4,
Ottar Ormstad,Current ELO generation,None,Academic; Anthology,ELC 3; ELC 4,
aya karpińska,E-poetry / digital concrete,None,Academic; Anthology; Archive; Lit Mag,ELC 1,
Everest Pipkin,Computational / generative poetry,None,Anthology; Art Mag; Lit Mag,ELC 3; ELC 4; ELO AWARDS; New Media Writing Prize; NuMeWriPri Shortlists; School for Poetic Computation; WordHack,
Qianxun Chen,Computational / generative poetry,None,Academic; Anthology; Lit Mag,ELC 3; School for Poetic Computation; WordHack,
Alinta Krauth,Net.art / listserv writing,None,Academic; Lit Mag,NuMeWriPri Shortlists; Woollahra Digital Literary Award,
Giselle Beiguelman,Media-art / critical theory,None,Academic; Anthology; Archive; Lit Mag,ELC 1,
James O'Sullivan,Current ELO generation,None,Academic; Archive,DH Now; ELO Team 2016,
Dan Waber,1st-gen hypertext (Storyspace/Eastgate),None,Academic; Anthology; Archive; Lit Mag,ELC 1; ELC 4,
David Kolb,Wardrip-Fruin / Bernstein cluster,None,Academic; Archive,Eastgate Systems,
Malthe Stavning Erslev,Media-art / critical theory,None,Academic; Anthology; Lit Mag,ELC 4; ELO AWARDS; ELO Team 2021; ELit Directory Team,
Mary Flanagan,Net.art / listserv writing,None,Academic; Anthology; Archive; Lit Mag,ELC 1; HASTAC Leadership; WordHack,
Daniel Cox,Digital humanities crossover,None,Anthology,ELO Keynotes + plenaries; ELO Team 2024; ELO Team 2026; Twine + Cookbook + Twinery Samples,
Roberto Simanowski,German / EU network (ELMCIP),None,Academic; Archive; Lit Mag,,
Illya Szilak,Smaller / mixed groups,None,Academic; Anthology; Archive,ELC 2; ELC 3; ELO Keynotes + plenaries; ELO Team 2014; WordHack,
Edward Falco,1st-gen hypertext (Storyspace/Eastgate),None,Academic; Anthology; Archive; Lit Mag,ELC 1; Eastgate Systems,
Kirill Azernyi,Breeze / Wilks cluster,None,Academic; Anthology; Lit Mag,Second tuesday Salons,
Amira Hanafi,Current ELO generation,None,Academic; Anthology; Archive,Arabic E-Lit; ELC 4; ELO Exec + Lit Advisory Board; ELO Keynotes + plenaries; New Media Writing Prize; Second tuesday Salons,
P. D. Edgar,UK digital fiction & games,Exogenous,Anthology; Lit Mag,ELO Exec + Lit Advisory Board; ELO Team 2024; ELO Team 2026; Second tuesday Salons,
Andrew Plotkin,Digital humanities crossover,None,Academic; Anthology,ELC 3; IF Comp; Interactive Fiction Tech Foundation; XYZZY Awards,
Chris Joseph,Breeze / Wilks cluster,None,Academic; Anthology; Archive; Lit Mag,ELC 2; ELO AWARDS; NuMeWriPri Shortlists,
Beat Suter,Smith / Małecki cluster,None,Academic; Anthology; Archive,ELC 3; ELC 4,
Adrian Miles,1st-gen hypertext (Storyspace/Eastgate),None,Academic; Archive; Lit Mag,,
Reham Hosny,Current ELO generation,None,Academic; Anthology; Archive,Arabic E-Lit; ELC 4; ELO AWARDS; ELO Exec + Lit Advisory Board; Second tuesday Salons,
William Gillespie,1st-gen hypertext (Storyspace/Eastgate),None,Academic; Anthology; Archive; Lit Mag,ELC 2; trAce + Alt-X Hypertext Competitions,
Kavi Duvvoori,Computational / generative poetry,None,Anthology; Lit Mag,,
Rob Swigart,1st-gen hypertext (Storyspace/Eastgate),None,Academic; Archive,Eastgate Systems; Electronic Book Review Staff; Second tuesday Salons,
Daniela Côrtes Maduro,Lusophone (MATLIT / Po.Ex),Endogenous,Academic; Anthology; Archive,ELC 4; ELO Team 2016; ELit Directory Team,
Laura Borràs Castanyer,German / EU network (ELMCIP),Endogenous,Academic; Archive,ELMCIP Project Team,
Anna Gibbs,German / EU network (ELMCIP),Endogenous,Academic; Archive,ELit Directory Team; Electronic Book Review Staff,
Milton Läufer,Hispanic / Iberian (Ciberia),None,Anthology; Archive; Lit Mag,ELC 4; ELO Team 2021; WordHack,
Robert Coover,Smaller / mixed groups,None,Academic; Lit Mag,ELO AWARDS; ELO Keynotes + plenaries; trAce + Alt-X Hypertext Competitions,
Charles Bernstein,E-poetry / digital concrete,None,Academic; Anthology; Archive; Lit Mag,,
Odile Farge,Hispanic / Iberian (Ciberia),Endogenous,Academic; Anthology; Archive,ELC 4; ELO Team 2014,
Judith A. Pintar,Digital humanities crossover,None,,Interactive Fiction Tech Foundation,
Hartmut Koenitz,Wardrip-Fruin / Bernstein cluster,None,Academic,ELO Keynotes + plenaries,
Daniel Punday,Electronic Book Review axis,Endogenous,Academic,Electronic Book Review Staff,
Giovanna Di Rosario,Hispanic / Iberian (Ciberia),Endogenous,Academic; Anthology; Archive,ELC 3; ELC 4; ELO Team 2021; ELO Team 2022,
Yohanna Joseph Waliya,Current ELO generation,None,Academic; Archive; Lit Mag,ELit Directory Team; Second tuesday Salons,
Benjamin Grosser,Media-art / critical theory,None,Academic; Anthology; Archive; Art Mag,ELC 3,
Nanette Wylde,Breeze / Wilks cluster,None,Anthology; Archive; Lit Mag,ELC 1; NuMeWriPri Shortlists,
Juan B. Gutiérrez,ELO core / netprov & exec,None,Academic; Archive,ELit Directory Team,
Vinícius Carvalho Pereira,Lusophone (MATLIT / Po.Ex),None,Academic; Anthology; Archive,Lit E Lat 2,
Richard Snyder,Current ELO generation,None,Academic; Archive; Lit Mag,ELO Team 2021; Second tuesday Salons,
Eduardo Kac,Media-art / critical theory,None,Academic; Anthology; Archive; Art Mag,Prix Ars Electronica - Golden Nica Winners,
Andrew Haik Demirjian,Computational / generative poetry,None,Academic; Lit Mag,WordHack,
Patricia Tomaszek,German / EU network (ELMCIP),Endogenous,Academic; Archive; Lit Mag,ELMCIP Project Team; ELit Directory Team,
Jason Boyd,Current ELO generation,Endogenous,Academic,,
Christian Ulrik Andersen,Media-art / critical theory,None,Academic; Art Mag,ELO Team 2021,
Eugene Thacker,Net.art / listserv writing,None,Academic; Archive; Lit Mag,,
Lev Manovich,Media-art / critical theory,None,Academic; Anthology; Art Mag; Lit Mag,School for Poetic Computation,
